design,pressures_mpa,fabric_mode,state_log_sigma,state_precision_percent,adjustment,pressure_nuisance_prior_precision_factor,pressure_nuisance_prior_sd_factor,lambda_min,lambda_max,spectral_ratio,condition_number,lambda_min_gain,worst_sd_reduction,determinant_gain,strong_direction_rotation_deg,weak_direction_rotation_deg
symmetric_10_40,10+40,fixed,0.05,5.0,shared_static_nuisance,1.0,1.0,1.0621383390062265,17.016094688808877,0.06241963026362166,4.0025743145941535,303.59862649278165,17.424081797695443,628.0847505747956,15.432254352128957,15.432254352128957
symmetric_10_40,10+40,fixed,0.05,5.0,full_pressure_nuisance,0.25,2.0,0.5759428259788542,11.128172450002655,0.051755382886676665,4.395641217582696,164.62587262328947,12.830661425791325,222.73090942952908,7.943385936574246,7.943385936574246
symmetric_10_40,10+40,fixed,0.05,5.0,full_pressure_nuisance,1.0,1.0,0.8057120347010738,13.219303247213475,0.060949659723625114,4.050553356313999,230.30245505761417,15.175719259976253,370.1397148652109,11.415522573903274,11.415522573903274
symmetric_10_40,10+40,fixed,0.05,5.0,full_pressure_nuisance,4.0,0.5,0.8957859581681515,14.320664063697162,0.06255198461354639,3.998337529369382,256.0489312398099,16.001529028183835,445.8047357715077,12.813568784906774,12.813568784906774
best_pair,5+7.5,fixed,0.0025,0.25,raw,1.0,1.0,54.41230498297655,6833.905094475878,0.007962110130408486,11.206910660151518,6021.767990582456,77.60005148569462,173467.54310028598,27.101864222300584,27.1018642223006
best_pair,5+7.5,fixed,0.0025,0.25,shared_static_nuisance,1.0,1.0,2.4648342316180925,492.8073433925211,0.005001618309195632,14.139847544326388,704.5412633836363,26.54319617875052,42212.605364827876,26.455734022088226,26.455734022088226
best_pair,5+7.5,fixed,0.0025,0.25,full_pressure_nuisance,0.25,2.0,0.9785838029275109,15.26392309030175,0.06411089712246221,3.9494268368794354,279.7156336102595,16.72470130107738,519.0885656877506,13.67691122136,13.676911221359973
best_pair,5+7.5,fixed,0.0025,0.25,full_pressure_nuisance,1.0,1.0,1.4305161117785004,29.38180479900541,0.048687142316966324,4.532030852948354,408.894689855651,20.22114462278659,1460.657835859951,20.913126349608422,20.913126349608422
best_pair,5+7.5,fixed,0.0025,0.25,full_pressure_nuisance,4.0,0.5,1.6452875537230698,57.62095563136877,0.028553631846178155,5.917923164118689,470.2843529434677,21.686040508665194,3294.576066740859,24.474981458629298,24.474981458629284
best_pair,5+7.5,fixed,0.005,0.5,raw,1.0,1.0,47.64680323120316,1852.3639235404794,0.02572216108599998,6.2351409166983665,5273.035109264443,72.61566710610352,41172.97442169364,24.80866247184515,24.80866247184515
best_pair,5+7.5,fixed,0.005,0.5,shared_static_nuisance,1.0,1.0,2.014057400675382,332.1048344945175,0.00606452298034412,12.84108370562893,575.6924856839044,23.99359259643925,23244.719599540207,27.06193418497596,27.06193418497596
best_pair,5+7.5,fixed,0.005,0.5,full_pressure_nuisance,0.25,2.0,0.9460626063422253,14.680143152043598,0.06444505319490194,3.939174380863321,270.4198665217347,16.44444789349082,482.6445847793765,13.22003087575544,13.22003087575544
best_pair,5+7.5,fixed,0.005,0.5,full_pressure_nuisance,1.0,1.0,1.4071519786427216,27.971401381773084,0.05030681013928961,4.458477813248795,402.21635195114254,20.055332257311086,1367.8311856426797,20.654474378337877,20.654474378337895
best_pair,5+7.5,fixed,0.005,0.5,full_pressure_nuisance,4.0,0.5,1.6289180857552157,54.7094503726684,0.029773980083137266,5.795375136627941,465.605350398368,21.57789031389232,3096.9833261170083,24.368818559382085,24.3688185593821
best_pair,5+7.5,fixed,0.01,1.0,raw,1.0,1.0,35.24831220739428,617.6857463924956,0.057065121565872214,4.186148462525711,3900.9036327159924,62.457214416878955,10156.827270837306,18.080978959812068,18.080978959812068
best_pair,5+7.5,fixed,0.01,1.0,shared_static_nuisance,1.0,1.0,1.831604411185077,202.94953037182694,0.009024925595192888,10.526359180794389,523.5406378741495,22.881010420742996,12918.051203627854,27.01067536753835,27.01067536753835
