replicate,block_length_samples,fabric_mode,design,pressures_mpa,static_lambda_min,combined_lambda_min,lambda_min_gain,worst_sd_reduction,spectral_ratio
10,5,shared,best_pair,5+7.5,0.003325750845601938,2.1996646929130064,661.403934038505,25.717774671197837,0.0820440556612176
10,5,nuisance,best_single,5,0.003325750845601938,1.2218338400130575,367.38586164049036,19.16731232177559,0.059145716391576335
10,5,nuisance,best_pair,5+7.5,0.003325750845601938,1.277514538437575,384.1281556394985,19.599187627029302,0.05778094560515841
10,5,expanded_nuisance,best_single,5,0.003325750845601938,0.008685545023244146,2.611604244115323,1.6160458669590176,0.000513943193540461
10,5,expanded_nuisance,best_pair,5+7.5,0.003325750845601938,0.011355229929589594,3.4143357265040026,1.8477921221024844,0.0006542319784601614
11,5,shared,best_single,5,0.003227757333727377,2.208326671042382,684.1675016790163,26.156595758603913,0.08795445495543709
11,5,shared,best_pair,5+7.5,0.003227757333727377,2.278692864509297,705.9678373894016,26.570055276370834,0.08281746002808861
11,5,nuisance,best_single,5,0.003227757333727377,1.2632663072987322,391.3758615304351,19.783221717668614,0.059115753589099276
11,5,nuisance,best_pair,5+7.5,0.003227757333727377,1.3196181468791846,408.834373355851,20.219653146279512,0.05786849641396117
11,5,expanded_nuisance,best_single,5,0.003227757333727377,0.008838563704755664,2.7382986981084456,1.654780558898504,0.0005066555183165599
11,5,expanded_nuisance,best_pair,5+7.5,0.003227757333727377,0.011435484676327157,3.5428576234142084,1.8822480238837305,0.0006393293438022347
12,5,shared,best_single,5,0.003441473935945405,2.1556802815049445,626.3828585157537,25.027641888834708,0.08750079957368113
12,5,shared,best_pair,5+7.5,0.003441473935945405,2.2228281605941915,645.8942307763141,25.414449251878626,0.08232931219959475
12,5,nuisance,best_single,5,0.003441473935945405,1.239320387281595,360.1132568046435,18.976650305168285,0.05915239480135373
12,5,nuisance,best_pair,5+7.5,0.003441473935945405,1.2939682871199523,375.99247043679475,19.39052527490668,0.05786253794942098
12,5,expanded_nuisance,best_single,5,0.003441473935945405,0.009169382984356211,2.6643767045811715,1.6322918564341278,0.0005367897573972527
12,5,expanded_nuisance,best_pair,5+7.5,0.003441473935945405,0.011864653549515491,3.4475500237244017,1.856757933529409,0.0006773348155731076
13,5,shared,best_single,5,0.00321761259256248,2.1947330918225916,682.0998577938572,26.11704152069788,0.08779460639355044
13,5,shared,best_pair,5+7.5,0.00321761259256248,2.2640475302167022,703.6420529463535,26.52625214662549,0.08273348315222954
13,5,nuisance,best_single,5,0.00321761259256248,1.2574805483246299,390.81166925791484,19.768957212203045,0.05906950460343673
13,5,nuisance,best_pair,5+7.5,0.00321761259256248,1.3122436796428645,407.83147190439246,20.19483775385166,0.05781853896582981
13,5,expanded_nuisance,best_single,5,0.00321761259256248,0.008750307043993377,2.7195029831185193,1.6490915629880953,0.0005040320201745765
13,5,expanded_nuisance,best_pair,5+7.5,0.00321761259256248,0.01132833266539679,3.520726109657285,1.87635980282495,0.0006366667734990993
14,5,shared,best_single,5,0.0035571891870918027,2.0776301148461926,584.0651159025841,24.167439167246997,0.08660717403270553
14,5,shared,best_pair,5+7.5,0.0035571891870918027,2.1402723793568708,601.6751617044752,24.52906768926359,0.08141153670749188
14,5,nuisance,best_single,5,0.0035571891870918027,1.1978833656525223,336.74997382746955,18.350748590383706,0.05895189969148598
14,5,nuisance,best_pair,5+7.5,0.0035571891870918027,1.2494979620889444,351.25991235525976,18.741929259157388,0.05762294914176373
14,5,expanded_nuisance,best_single,5,0.0035571891870918027,0.008946982197499675,2.5151831198537753,1.5859328863018685,0.0005402335291199191
14,5,expanded_nuisance,best_pair,5+7.5,0.0035571891870918027,0.01159829839590154,3.260523347475872,1.8056919303900851,0.0006827663065212363
15,5,shared,best_single,5,0.003373236722490791,2.200237724839836,652.2630653727691,25.53944136767226,0.08842602964409987
15,5,shared,best_pair,5+7.5,0.003373236722490791,2.271265361280732,673.319291865065,25.948396710877244,0.08328013253775532
15,5,nuisance,best_single,5,0.003373236722490791,1.2606841723383782,373.73130795501703,19.332131490216412,0.05932963797357397
15,5,nuisance,best_pair,5+7.5,0.003373236722490791,1.3172556429510016,390.501987058395,19.7611231223935,0.05808618157092803
15,5,expanded_nuisance,best_single,5,0.003373236722490791,0.008980933543131009,2.6624083282537923,1.6316887963866737,0.0005165361617460355
15,5,expanded_nuisance,best_pair,5+7.5,0.003373236722490791,0.011683995047346407,3.4637340953406226,1.8611109841545244,0.0006553302479432514
16,5,shared,best_single,5,0.003353604673509425,2.1096973828333856,629.083505130515,25.08153713651767,0.08696016068397562
