block_length_samples,block_length_m,replicate,best_pressure_1_mpa,best_pressure_2_mpa,best_lambda_min,full_sample_design_lambda_min,full_sample_design_selected,full_sample_design_regret_fraction
5,20,94,5.0,7.5,0.011545913527840845,0.011545913527840845,True,0.0
5,20,95,5.0,7.5,0.011315867142345226,0.011315867142345226,True,0.0
5,20,96,5.0,7.5,0.01054029296647574,0.01054029296647574,True,0.0
5,20,97,5.0,7.5,0.011504799286303324,0.011504799286303324,True,0.0
5,20,98,5.0,7.5,0.011337262240639134,0.011337262240639134,True,0.0
5,20,99,5.0,7.5,0.01136895214324829,0.01136895214324829,True,0.0
10,40,0,5.0,7.5,0.010745101320729145,0.010745101320729145,True,0.0
10,40,1,5.0,7.5,0.011269664995899653,0.011269664995899653,True,0.0
10,40,2,5.0,7.5,0.011187226015771046,0.011187226015771046,True,0.0
10,40,3,5.0,7.5,0.01092639545386076,0.01092639545386076,True,0.0
10,40,4,5.0,7.5,0.011683094382534343,0.011683094382534343,True,0.0
10,40,5,5.0,7.5,0.010693054983011319,0.010693054983011319,True,0.0
10,40,6,5.0,7.5,0.009883041757229094,0.009883041757229094,True,0.0
10,40,7,5.0,7.5,0.009979892976247573,0.009979892976247573,True,0.0
10,40,8,5.0,7.5,0.010060423332484802,0.010060423332484802,True,0.0
10,40,9,5.0,7.5,0.01061329939605038,0.01061329939605038,True,0.0
10,40,10,5.0,7.5,0.011236266810574769,0.011236266810574769,True,0.0
10,40,11,5.0,7.5,0.011009363288535745,0.011009363288535745,True,0.0
10,40,12,5.0,7.5,0.011161569962304885,0.011161569962304885,True,0.0
10,40,13,5.0,7.5,0.011638015299955562,0.011638015299955562,True,0.0
10,40,14,5.0,7.5,0.011490582816936268,0.011490582816936268,True,0.0
10,40,15,5.0,7.5,0.011024077988186942,0.011024077988186942,True,0.0
10,40,16,5.0,7.5,0.011519100244051117,0.011519100244051117,True,0.0
10,40,17,5.0,7.5,0.010843486859491769,0.010843486859491769,True,0.0
10,40,18,5.0,7.5,0.011504229490876483,0.011504229490876483,True,0.0
10,40,19,5.0,7.5,0.011861164191237172,0.011861164191237172,True,0.0
10,40,20,5.0,7.5,0.010194938265509101,0.010194938265509101,True,0.0
10,40,21,5.0,7.5,0.011914902255078186,0.011914902255078186,True,0.0
10,40,22,5.0,7.5,0.01156342700911761,0.01156342700911761,True,0.0
10,40,23,5.0,7.5,0.010613965725932317,0.010613965725932317,True,0.0
10,40,24,5.0,7.5,0.010422589899962365,0.010422589899962365,True,0.0
10,40,25,5.0,7.5,0.011293370331105113,0.011293370331105113,True,0.0
10,40,26,5.0,7.5,0.010819600816716513,0.010819600816716513,True,0.0
10,40,27,5.0,7.5,0.010564966793701114,0.010564966793701114,True,0.0
10,40,28,5.0,7.5,0.009758398508952215,0.009758398508952215,True,0.0
10,40,29,5.0,7.5,0.010697489574656771,0.010697489574656771,True,0.0
10,40,30,5.0,7.5,0.01068684602558001,0.01068684602558001,True,0.0
