profile,Vcem_fraction,Vcem_percent,lnCn_MAP,Cn_MAP,objective_MAP,nuisance_prior_norm,optimizer_success,optimizer_nfev,optimizer_optimality,active_bounds,selected_start_strategy,candidate_count,MAP_phi_bias_sigma,MAP_vsh_bias_sigma,MAP_sw_bias_sigma,MAP_f_kf_shift_sigma,MAP_log_clay_mod_scale_sigma,MAP_brine_salinity_shift_sigma,MAP_GOR_shift_sigma,MAP_log_cement_mod_scale_sigma,MAP_phic_pack_shift_sigma,MAP_logP_calibration_sigma,MAP_log_stress_bulk_scale_sigma,MAP_log_stress_shear_scale_sigma,MAP_stiff_cement_volume_shift_sigma,MAP_ln_soft_cn_offset_sigma,MAP_ln_stiff_cn_offset_sigma,MAP_soft_phic_shift_sigma
shared_generic,0.0150306754049986,1.50306754049986,1.6641750002278293,5.281314368819063,0.5574988360247544,0.654765550332066,True,9,6.2728049991250605e-06,0,nearest_multistart_MAP,2,-0.020479854867250402,0.09332567239289997,-0.020511062252996586,0.10185576310634317,-0.02546369175735254,0.0014765322734375426,0.01101967503189832,-0.026512221163855702,0.14482536035964977,0.11127886877735046,0.07212213800948086,0.5604641635714894,-0.23375105611103877,0.0,0.0,0.0
shared_generic,0.01526797345913795,1.5267973459137951,1.6618611277827846,5.269108208222754,0.6624044489603432,0.7136756042724284,True,8,1.4409371667267569e-05,0,nearest_multistart_MAP,2,-0.02236292715244312,0.10202344498984728,-0.022278521908152632,0.1114722967344992,-0.027776880286573352,0.0016496205730370558,0.011929048305534914,-0.02854409153524932,0.15832740857004166,0.12103260989671004,0.07702973404917737,0.6109170052580782,-0.2547559752623667,0.0,0.0,0.0
shared_generic,0.0155052715132773,1.5505271513277301,1.6596153109867888,5.2572880344493145,0.7752604344803058,0.7720276620841763,True,8,1.0116411167040302e-05,0,forward_continuation,2,-0.024235536985129733,0.11068989007848581,-0.024017884679240056,0.12107598230652988,-0.030072062958421162,0.0018278213537921036,0.012817534787581623,-0.03050282690262321,0.17177157080067984,0.13065789118392898,0.0816596041341083,0.6609080501801619,-0.2755063799185999,0.0,0.0,0.0
shared_generic,0.01574256956741665,1.5742569567416649,1.6574357924891217,5.245842155713827,0.895857409903185,0.829837221090299,True,8,1.5161107905812472e-05,0,forward_continuation,2,-0.026098363829812527,0.11932743279263303,-0.02573041655826819,0.13066933558259888,-0.03234991708749798,0.002011126041842384,0.013685973853084439,-0.032390404208280266,0.18515992119074007,0.14015900350691468,0.08602381079431996,0.7104503139205977,-0.29600275322379016,0.0,0.0,0.0
shared_generic,0.015979867621556,1.5979867621555999,1.6553208276662088,5.234759108346871,1.0239970145416968,0.8871188540523713,True,8,2.2127248654300976e-05,0,forward_continuation,2,-0.027951913072609295,0.12793764688070175,-0.027417177206377617,0.14025401000297238,-0.034611019220653044,0.0021994242679261285,0.014535163185490446,-0.034209430252401314,0.1984930578174855,0.1495405654873429,0.09013502157261849,0.7595583885859588,-0.3162406720121442,0.0,0.0,0.0
shared_generic,0.01621716567569535,1.6217165675695349,1.6532687346393278,5.224027910157551,1.1594912526179075,0.9438864386462855,True,14,1.1879217220792046e-05,0,nearest_multistart_MAP,2,-0.029796612836790748,0.13652182609271046,-0.029079156854268557,0.14983137812062874,-0.036855904318531606,0.002392671747473389,0.015365843242311618,-0.03596263278812462,0.21177115692145093,0.1588071685844807,0.09400564785088018,0.8082470257675259,-0.33621416366185225,0.0,0.0,0.0
shared_generic,0.0164544637298347,1.6454463729834699,1.6512780514799468,5.213638869847282,1.3021618821080712,1.0001538482104477,True,10,1.4826437989705783e-05,0,nearest_multistart_MAP,2,-0.031633178521557004,0.14508266727595914,-0.03071750253421012,0.15940428065169157,-0.0390852330976583,0.0025908155117997165,0.016178768171157386,-0.037651370313716986,0.22499701959639015,0.16796232775580106,0.0976455437834139,0.8565268150571866,-0.35592584425458373,0.0,0.0,0.0
shared_generic,0.016691761783974052,1.669176178397405,1.6493473092401374,5.203582388418911,1.4518398457651827,1.055933770153509,True,7,4.102066091138368e-05,0,nearest_multistart_MAP,2,-0.033462184234695776,0.15362220788518013,-0.03233330839007857,0.16897481747839066,-0.041299556479178906,0.002793846209751321,0.016974653646395953,-0.03927729280459489,0.2381724454905846,0.17700961190913964,0.10106453351212492,0.9044087029011648,-0.375375455767891,0.0,0.0,0.0
shared_generic,0.0169290598381134,1.69290598381134,1.6474749333951917,5.193848442094403,1.608364740899953,1.1112382493373214,True,8,4.337148594519776e-06,0,nearest_multistart_MAP,2,-0.0352836940660642,0.16214013833865384,-0.03392710370214527,0.17854279829158565,-0.04349925100051782,0.003001633177074915,0.017754076118931407,-0.04084437230293779,0.2512947940052663,0.18595425051913828,0.10427599471556505,0.9519108187157962,-0.3945466928337738,0.0,0.0,0.0
shared_generic,0.01716635789225275,1.716635789225275,1.6456598528020483,5.18442973902185,1.771584324660234,1.166080058065337,True,11,2.2284046469139577e-05,0,nearest_multistart_MAP,2,-0.03709884394723677,0.17064124464599018,-0.03550034878327747,0.18811319466822538,-0.04568509012022147,0.0032142508565000225,0.018517777150046648,-0.04235150637868661,0.26437102443393673,0.19479763161171254,0.10728473133877225,0.9990356230287493,-0.41345704966470936,0.0,0.0,0.0
shared_generic,0.0174036559463921,1.74036559463921,1.6439006638981457,5.175317365295313,1.9413540524692705,1.2204698062419963,True,10,3.490853808928054e-05,0,nearest_multistart_MAP,2,-0.03890783120087684,0.17912586844840242,-0.03705373881101274,0.1976864043721977,-0.047857443319441854,0.003431626782746368,0.019266336744551884,-0.043801623876721665,0.2773999469612645,0.2035439839490269,0.11010162471663412,1.0457972856359592,-0.43209565899782454,0.0,0.0,0.0
shared_generic,0.01764095400053145,1.764095400053145,1.6421961615643053,5.166503538495899,2.1175366462717338,1.274419009989488,True,15,2.492049566990189e-05,0,forward_continuation,2,-0.04071107174838877,0.18759550052289384,-0.03858797582763828,0.20726414307670118,-0.050016822727692145,0.0036537104544214585,0.020000292742465793,-0.04519673548144944,0.2903823455535874,0.21219686720290498,0.11273600099269708,1.0922078183782125,-0.4504579477480481,0.0,0.0,0.0
shared_generic,0.0178782520546708,1.78782520546708,1.6405452393215312,5.157981079780847,2.30000169078938,1.3279377383296798,True,17,2.515606259108077e-05,0,forward_continuation,2,-0.04250922397528718,0.19605269355994984,-0.04010415299541181,0.21684904845056138,-0.05216373336744569,0.0038805263278926584,0.020720271545818257,-0.04653731967674572,0.30332136414031274,0.22075850675996933,0.11519420447378796,1.1382733413826234,-0.4685486668074907,0.0,0.0,0.0
