profile,Vcem_fraction,Vcem_percent,lnCn_MAP,Cn_MAP,objective_MAP,nuisance_prior_norm,optimizer_success,optimizer_nfev,optimizer_optimality,active_bounds,MAP_phi_bias_sigma,MAP_vsh_bias_sigma,MAP_sw_bias_sigma,MAP_f_kf_shift_sigma,MAP_log_clay_mod_scale_sigma,MAP_brine_salinity_shift_sigma,MAP_GOR_shift_sigma,MAP_log_cement_mod_scale_sigma,MAP_phic_pack_shift_sigma,MAP_logP_calibration_sigma,MAP_log_stress_bulk_scale_sigma,MAP_log_stress_shear_scale_sigma,MAP_stiff_cement_volume_shift_sigma,MAP_ln_soft_cn_offset_sigma,MAP_ln_stiff_cn_offset_sigma,MAP_soft_phic_shift_sigma
shared_generic,0.03443333333333333,3.443333333333333,1.624641394883932,5.076598216629106,26.693388915952923,4.32841382465459,True,31,7.839265072559363e-05,0,-0.17729424162981988,0.8420874366135311,-0.1314154072698042,1.012494845443924,-0.19038191414209046,0.03397932401406623,0.05403294706833229,-0.03643234539765297,1.159804872922169,0.6703031234469771,0.08495664615477373,3.733427856443685,-1.0818522832253366,0.0,0.0,0.0
shared_generic,0.036399999999999995,3.6399999999999997,1.633844271765872,5.1235331620032705,30.841338804499497,4.603276980290051,True,88,0.0012288267924029008,0,-0.19658040399797527,0.9341554935790092,-0.1425786888462627,1.1367524572303958,-0.2070148529663607,0.04015297863035822,0.05683365730069732,-0.023143177047454166,1.2533493223063004,0.7063162341252147,0.07035117204048058,3.95887805030765,-1.0819745149950306,0.0,0.0,0.0
shared_generic,0.03836666666666667,3.836666666666667,1.649076919106283,5.202175581282341,35.25112448197509,4.738895399671248,True,60,0.0001907477801960736,0,-0.2205697049036977,1.0481299075847998,-0.15709690604602464,1.2925512874914016,-0.2266115298763415,0.04812851485233944,0.06014381508772672,-0.011995802206599284,1.3590796205159472,0.7558095066907065,0.05786255588462093,3.999998747351621,-1.0655610004935652,0.0,0.0,0.0
shared_generic,0.04033333333333333,4.033333333333333,1.66400728304808,5.2804286759427885,39.93517470149748,4.8333311447952605,True,17,0.0011087098851636063,1,-0.24281398667003698,1.1532292008329375,-0.16946159646708522,1.4415366429387262,-0.2447008743653446,0.05624717360655244,0.0625118542561305,0.004152895052413797,1.4460137187181428,0.7873188704686805,0.042469312276590857,3.9999999999999996,-1.0420417678496003,0.0,0.0,0.0
shared_generic,0.0423,4.2299999999999995,1.6769743532314005,5.349346228879385,44.787415405489476,4.9148739607842185,True,25,0.00037652975869738466,1,-0.261961602267368,1.242818703333043,-0.17878266883089378,1.5742776837069372,-0.26034485102643967,0.0639077517513601,0.06383911972456859,0.025537498693106956,1.5112701124534482,0.7975957297264984,0.02421517234716283,3.9999999999999996,-1.0174362177573866,0.0,0.0,0.0
shared_generic,0.04426666666666666,4.426666666666666,1.6874056915043407,5.405439122270175,49.715833677648895,4.982377961161453,True,29,0.001989155512963669,1,-0.27782884114586814,1.3159885403179064,-0.185212835013024,1.6881383082261228,-0.2733963394166398,0.07078400892956174,0.06429628140698043,0.051096445155339294,1.558965549080732,0.7895809197955327,0.004283383472664517,3.9999999999998623,-0.9953039487298737,0.0,0.0,0.0
shared_generic,0.04623333333333333,4.623333333333333,1.694761874297009,5.445349133224031,54.643149186119366,5.03486832396502,True,29,0.001727508898252013,1,-0.29021585214960555,1.3717859066565061,-0.18886827204852039,1.7805355344421894,-0.283748060606327,0.07657629759621128,0.06403701767721229,0.07988403762737809,1.5928101993023065,0.7659568575711858,-0.01623084224956113,3.9999999999999787,-0.978285460524837,0.0,0.0,0.0
shared_generic,0.04819999999999999,4.819999999999999,1.6984256932989585,5.465336499538359,59.50387005642598,5.071147119416619,True,32,0.001988477572577171,1,-0.29880333139494325,1.4089669970418721,-0.18974208879494428,1.848212215075224,-0.2912424465283915,0.08098071056155862,0.06316519450142578,0.11107157143340478,1.6160874272570909,0.7289166633495788,-0.0362918596813955,3.999999999981354,-0.9685500903159052,0.0,0.0,0.0
shared_generic,0.050166666666666665,5.016666666666667,1.6966459118602022,5.455618046006893,64.24120410473671,5.0711300511598845,True,22,0.0007993575685956129,0,-0.30225709734662765,1.4217378676343455,-0.18709206801521552,1.8811587980895976,-0.29522980611926214,0.08331374352344259,0.06161653887335493,0.1445094042746783,1.6310010731209121,0.677756418510988,-0.05492786230391214,3.980692844213607,-0.9709108999378439,0.0,0.0,0.0
shared_generic,0.05213333333333333,5.213333333333333,1.585491929527998,4.881692236495578,68.08631424930631,3.313737619336118,True,87,0.001345486178299685,0,-0.2021747602067806,0.9591122574640369,-0.10806610427145591,1.23883251812459,-0.23986792293338907,0.049115956229936815,0.04216000125610113,0.19863191786947362,1.4126462284450862,0.3653622639178262,-0.07326352827887174,2.1724273134852266,-1.2323366963483144,0.0,0.0,0.0
shared_generic,0.054099999999999995,5.409999999999999,1.543109413288518,4.679116983033732,70.71081597364449,2.635167926561412,True,44,0.0008389623212654826,0,-0.1575366452439352,0.756590980582634,-0.06563682771866192,0.9813635743825552,-0.221557732453707,0.03911992634918414,0.029936681995042017,0.20638821678108105,1.2222476127884192,0.227685177070202,-0.09003430560263855,1.3946714261870758,-1.3365720362073015,0.0,0.0,0.0
