Vcem_fraction,Vcem_percent,lnCn,Cn,delta_data_objective,beta_raw_projection,beta_raw_eigen,beta_adjusted_projection,beta_adjusted_eigen,raw_lambda_min,raw_lambda_max,adjusted_lambda_min,adjusted_lambda_max,raw_spectral_ratio,adjusted_spectral_ratio,raw_rho,adjusted_rho,raw_angular_independence,adjusted_angular_independence,raw_condition,adjusted_condition,retention_min,retention_max,beta_Vp_median,beta_Vp_q25,beta_Vp_q75,beta_Vs_median,beta_Vs_q25,beta_Vs_q75,strong_coordinate_angle_to_20p3_deg,a_c,m_N,m_T,m_G,m_N_minus_m_G,beta_endpoint_K,beta_endpoint_G,endpoint_log_jacobian_det
0.0069,0.69,2.6664018242426577,14.388105009895924,1263.9282473059588,41.92702488648868,41.92833588666613,41.64523788190175,41.65570620442521,0.0026896280412103124,936.6115453215955,0.0007464659979961041,31.95511565650468,2.871658004479114e-06,2.3359827766549046e-05,0.9999827850524973,0.9998614641807154,3.4429598651075644e-05,0.0002770524463959756,590.1109066130962,206.90223489784395,0.029143762300870076,0.32490251784109225,41.772204060611,41.72428886798183,42.11141611673854,41.923750279223185,41.86614597190248,42.27332097826452,15.656671379268476,0.2555190254343857,0.9571452666717309,0.934041029392142,0.9442861310441427,0.012859135627588225,45.58768573319816,44.78595455566281,0.46591071114450094
0.0069,0.69,2.8903717578961645,18.0,2119.3104877945198,42.36117657923932,42.36231630152058,42.1000153030659,42.10910848968587,0.002424230986406428,999.652676469562,0.0006877487077328048,34.94412849123924,2.4250732714166276e-06,1.9681381033876082e-05,0.9999852151939047,0.9998811962589896,2.956939360010402e-05,0.00023759336769180184,642.15159783044,225.4094998077595,0.0299220327068177,0.33142843962223767,42.216080786962706,42.16747264820427,42.51677923021106,42.35890862292995,42.307653949871735,42.70094278326644,15.826345160358821,0.24160505455128115,0.9588114784131686,0.9359479794203162,0.9460790715150907,0.012732406898077864,45.692065549677004,44.89733432071998,0.46131909051006753
0.012799999999999999,1.2799999999999998,1.0986122886681098,3.0,578.4185421591912,19.165685976892416,19.169440201854464,18.94633982437103,18.984033311456972,0.011344303651490861,177.63316108344398,0.004877260357160962,7.426143374511384,6.386365914054653e-05,0.0006567689460320809,0.9998546978621669,0.9985168916306312,0.00029058316295504927,0.0029640171283024097,125.13335848119934,39.02057771996375,0.040393362427313756,0.4449665619050617,18.93853173203389,18.872173555494257,19.349959249528744,19.130302109098754,19.07462219014028,19.51549705703834,1.5231153367972907,0.44130012261958307,0.9318375664886995,0.9015333952374164,0.9150771061800469,0.016760460308652636,23.727495352524503,23.174128294594777,0.3273527404033718
0.012799999999999999,1.2799999999999998,1.3225822223216166,3.753100214577221,235.86529081543353,19.384727798354422,19.387995667507976,19.12516378037293,19.15921607412863,0.010670861028373224,197.14838684385816,0.004381823672728435,7.546890736097803,5.412603774853386e-05,0.0005806131062385173,0.9998758620861193,0.998680445557148,0.00024826041753966965,0.0026373676617764685,135.9242301622883,41.50081088771565,0.036174219027575796,0.43454134478163153,19.168247102916762,19.104681613994295,19.557415299659056,19.37265157421513,19.31774515920933,19.735995449966595,1.2192348563396262,0.41726967304190155,0.9353342687858234,0.9062407802487622,0.9192314527191912,0.01610281606663222,23.843706347687707,23.31072787245674,0.31450812630141056
0.012799999999999999,1.2799999999999998,1.5465521559751234,4.6952537402198615,39.54670707733436,19.61957440368133,19.622394860221192,19.32612971354289,19.356327497093613,0.00984819635868206,216.8880746910618,0.0038992842494982582,7.758625021755663,4.540681350373901e-05,0.0005025741337626738,0.9998949457445282,0.998849433442024,0.00021009747454703298,0.002299809312547585,148.40190884704742,44.60668338666284,0.03288559342010367,0.4306967576312054,19.412371579466665,19.352084987617793,19.771978543068336,19.627172136021557,19.57419224766046,19.97006080335413,0.8984527534591339,0.3945477717226652,0.9385923145377824,0.9105853894116811,0.9230798352256939,0.015512479312088434,23.952224632307708,23.43759612375158,0.30297811156422727
0.012799999999999999,1.2799999999999998,1.7705220896286304,5.873919273304556,9.779662012585277,19.87594976425252,19.878370253576243,19.557817334047275,19.584327104070923,0.008945971329950453,236.7504087134755,0.0034695661097468022,8.085592584891426,3.778650849459446e-05,0.00042910474072487437,0.9999117240877317,0.999009185908343,0.00017654403190003887,0.001980646470749803,162.6790462997177,48.2745621799165,0.03047076436494036,0.43469578919424356,19.676263818741297,19.619944138279575,20.00552499312902,19.900392335580747,19.850449101022235,20.22383704185596,0.5540797209460977,0.3730631632931741,0.9416260385268316,0.9145890983518244,0.9266405238157924,0.01498551471103915,24.05347913192208,23.55526305467878,0.2926858341999834
0.012799999999999999,1.2799999999999998,1.9944920232821373,7.348469228349535,165.35302657567468,20.16012781000758,20.162203183650625,19.82794331073979,19.8512664386324,0.008043542036467954,256.8091831345206,0.003126405541413524,8.552637138633694,3.132108415396744e-05,0.00036554871798442456,0.999926023708571,0.9991473156827776,0.00014794711036636432,0.0017046415638999335,178.682329920595,52.3030924381284,0.028910013938844823,0.44775368849415176,19.9711573178751,19.91538609724144,20.26470957736663,20.206858748589102,20.152368503508285,20.50409766966544,0.17931180210194964,0.35274847250725055,0.9444485931569355,0.9182717363426146,0.9299301582348583,0.014518434922077272,24.147866134780188,23.664215264343177,0.28356318207182174
0.012799999999999999,1.2799999999999998,2.2184619569356445,9.193180479244251,523.439414829053,20.478681418473073,20.480471342473674,20.14263539110879,20.163470330966312,0.007216721774710777,277.3837226579833,0.0028897112555594795,9.18556221351739,2.6017106215021355e-05,0.0003145927476607808,0.9999377795337052,0.9992572612738351,0.00012443706120313092,0.0014849257915144909,196.05165147932792,56.38007466989325,0.028183433431632227,0.470484541039543,20.296310718343317,20.246610523614066,20.556912263720513,20.538055079791306,20.486145393224444,20.817796308615087,0.23228629039450727,0.33353999295398995,0.9470720487436667,0.9216512768734664,0.9329638931409661,0.014108155602700623,24.23575170768468,23.76489927478641,0.27554991411524654
0.012799999999999999,1.2799999999999998,2.442431890589151,11.500975876432902,1099.9756754136029,20.83801269865337,20.839577659283904,20.505921509513843,20.52498356686415,0.006524444221341241,299.1069470905507,0.0027609028672421765,10.010782266967876,2.1813081524201614e-05,0.0002757929194356971,0.9999470809072126,0.9993395358154775,0.00010583538514441493,0.001320492156105968,214.11223691729364,60.21552039026596,0.028211281314858026,0.5020261146084378,20.66075165876852,20.615825909520233,20.889808337412227,20.902836834291403,20.858937368933066,21.17005801736118,0.686039816326328,0.31537748727589743,0.9495074828676139,0.9247440052035348,0.9357555265272669,0.013751956340346982,24.317473877551244,23.857724519966652,0.26859289727240204
0.012799999999999999,1.2799999999999998,2.6664018242426577,14.388105009895924,1910.615324251412,21.243612730869433,21.24500920626783,20.91939864710656,20.937267164030285,0.0059996331136176195,322.9903314760389,0.002723300038465659,11.052741644658216,1.8575271545125813e-05,0.00024639135935850166,0.9999541880855066,0.9994001126423706,9.162173025523135e-05,0.0011994148504169688,232.0237354271821,63.70701596361524,0.028800565355353937,0.5393246646755159,21.06635120495289,21.03066756769517,21.27057257149327,21.314364321293127,21.273797126757895,21.55583180957109,1.1851722356474792,0.2982039982658968,0.9517650601132641,0.927564666001679,0.938317613452705,0.013447446660559081,24.39334460358612,23.943066032287216,0.2626454425890446
