train,test,replicate,block_length_samples,block_length_m,unique_fraction_train,success,bound_hit,Vcem_train_bootstrap,Cn_train_bootstrap,A_raw,Gamma_raw,qstar_ratio_raw,local_exponential_ratio_raw,A_adjusted,Gamma_adjusted,qstar_ratio_adjusted,local_exponential_ratio_adjusted
BT2,19A,121,5,20,0.6,True,False,0.003787474753429738,7.13192993427347,0.3092260114613896,1.5515377940915913,1.0815603891157848,3.3226715990780784,0.30945335477459845,1.592651465225481,1.0796236030747637,3.319649154465071
BT2,19A,122,5,20,0.43333333333333335,True,False,0.021485964713463524,4.9400168757528995,0.2977091457291551,1.4814463883032913,0.9790408262189393,0.9818758812773947,0.29824955009113013,1.5120475649874676,0.9788653756098956,0.9817060034306547
BT2,19A,123,5,20,0.6666666666666666,True,False,0.0063485946289667024,6.406930258663995,0.3068327464740488,1.514848939828683,1.0350424378274155,1.6526122438578716,0.30720939731306307,1.5737477509377737,1.0326801346130055,1.6498920912020874
BT2,19A,124,5,20,0.6333333333333333,True,False,0.007708763025989545,6.579254905218826,0.3058457565284755,1.5006156735493947,0.9541464840286557,1.3093832232836993,0.30634802895600727,1.543810754158578,0.9528901286582635,1.3083897826538997
BT2,19A,125,5,20,0.8666666666666667,True,False,0.009087088800175495,5.926692266314339,0.30458325250881685,1.5159341348416466,1.010667808100296,1.2564827129977032,0.30499050846316084,1.549584937795933,1.0097015693620623,1.2556790096363957
BT2,19A,126,5,20,0.7,True,False,0.0014010926952289849,10.14245169061098,0.31287518865126007,1.5325585385879505,1.0366996804999697,75.27669824349734,0.31296767095597683,1.6084819824253,1.0322656990973842,75.05971564386732
BT2,19A,127,5,20,0.6,True,False,0.0129994278856033,5.4344664722399285,0.3019189310130254,1.501714111294162,1.002244562570305,1.0829659175088135,0.30238877748017434,1.5334889854359852,1.0015764141435926,1.0823890128256208
BT2,19A,128,5,20,0.6,True,False,0.0014729597572018431,10.15500784349435,0.31297698409753894,1.5082118446427384,1.0213983159077231,57.69994430138688,0.31321854607676447,1.6046981824009052,1.0162163091472962,57.595839231818104
BT2,19A,129,5,20,0.7,True,False,0.00856898968791908,5.865005949715385,0.3049005458373133,1.5120618130586925,1.0381529372263458,1.3330149414422696,0.3052840483742313,1.5696131974989105,1.03607746908019,1.3308321803913994
BT2,19A,130,5,20,0.6666666666666666,True,True,0.001000000014910062,11.488416259521836,0.313568974497882,1.5209249515527212,1.0185094276456708,610.8604891869561,0.3137724332594545,1.5989043916824077,1.0143407943866132,610.9761058721671
BT2,19A,131,5,20,0.6666666666666666,True,False,0.004623957644207896,6.677082784244647,0.30847881223811835,1.5246591278579198,1.089830682545674,2.471154033546471,0.3087187851936752,1.6016146299377505,1.0859282014991858,2.4641203755358143
BT2,19A,132,5,20,0.7666666666666667,True,False,0.0010471575626382766,11.171090860113562,0.31371126250005377,1.526078886725399,1.0327410497601897,445.26227706219345,0.3139138470812019,1.6147407947562977,1.0278430239326795,444.9607018141102
BT2,19A,133,5,20,0.7333333333333333,True,False,0.0038015234337312196,7.087087525648418,0.3094341086795936,1.537130166090208,1.0884857428116423,3.3254425288965885,0.30975668357997976,1.5996801425407836,1.0854754402736566,3.320397672407395
BT2,19A,134,5,20,0.8,True,False,0.001382231972202805,9.858514262866295,0.31296032687233266,1.533608981665481,1.071207456558861,83.57970661909178,0.31323741763347723,1.606060067160684,1.067412720658555,83.61601129669108
BT2,19A,135,5,20,0.6333333333333333,True,False,0.0026049177541013955,8.50252540640289,0.31117359537054073,1.5140111071264177,1.0204572101915617,7.033175375478112,0.31147527756784565,1.5815173690693178,1.0172324371962695,7.024820379101526
BT2,19A,136,5,20,0.6333333333333333,True,False,0.017665962408430828,5.1048454791742115,0.2993107664240577,1.49913734532722,0.9896604610092841,1.00823287212292,0.2998362571162813,1.5315329632670116,0.9892464172951139,1.0078489393559191
BT2,19A,137,5,20,0.6666666666666666,True,False,0.0012051491714924838,9.992511527279897,0.3131329149577755,1.5464400993762724,1.1021420011499912,187.24899730306106,0.3131135772263226,1.6366846050442507,1.096083372527457,186.19072362342808
BT2,19A,138,5,20,0.4666666666666667,True,False,0.009219670180635187,5.664332637050507,0.30412273744387847,1.5214830036249372,1.0526559127012933,1.2985490391686145,0.30451669182654456,1.556311468099933,1.0515919041049393,1.2976231878411182
BT2,19A,139,5,20,0.7,True,False,0.0014678994747057796,10.045518279149693,0.3128512113676571,1.5170679515994123,1.032710590040248,59.240009084117915,0.31308995153239966,1.6047945920979492,1.028000759997882,59.16131356136628
BT2,19A,140,5,20,0.5333333333333333,True,False,0.006424398639229551,6.75908538934621,0.30692866795887863,1.51682102679603,0.9778689908962419,1.5454015179997704,0.3074146684274129,1.5540943697172442,0.9767849208005556,1.5448665898799698
BT2,19A,141,5,20,0.5333333333333333,True,False,0.0014745237092814547,10.516899209996877,0.3130824282057096,1.4999782736185394,0.9867078270734473,55.52502019658947,0.31339368676986734,1.5847496448200526,0.9825821559427022,55.522938643173006
