scheme,sample_subset,metric,n_valid,point_estimate,mean,median,mad,std,cv_abs,q02p5,q16,q84,q97p5,median_bias,probability_positive
MBB_20m_primary,interior_only,Gamma_raw,398,1.4911805471801822,1.4907571108799351,1.492932614725918,0.012923496650958044,0.020866666754391423,0.013997361878807107,1.4435009056866563,1.4709633245668854,1.511747665091765,1.5254028421537382,0.0017520675457358692,1.0
MBB_20m_primary,interior_only,A_adjusted,398,0.3028371625535019,0.30344233485493877,0.3040887130679095,0.003222178705239831,0.0050245305731131595,0.016558436302288364,0.29075801478327584,0.29894179645757524,0.3082591323779487,0.3113995737674523,0.0012515505144076178,1.0
MBB_20m_primary,interior_only,Gamma_adjusted,398,1.61812043572011,1.6184284243040845,1.620981295373023,0.016787609386121893,0.027752455922244325,0.01714778083817808,1.5580361025672507,1.5932877865233601,1.644650035532439,1.6680221248630547,0.0028608596529129393,1.0
MBB_20m_primary,interior_only,beta_raw,398,20.271560299724396,31.924848100649783,24.449996851737684,12.35014015180277,27.79258781287653,0.8705628833457426,2.5728883813288115,11.278216386030541,50.44060540533666,105.41460086897642,4.178436552013288,1.0
MBB_20m_primary,interior_only,beta_adjusted,398,19.961765533133907,31.633745412057273,24.09269123057446,12.329467234039729,27.82804777604601,0.8796950033440961,2.293188095850228,10.985324222297308,50.16283809187681,105.22818500953659,4.130925697440553,1.0
MBB_20m_primary,interior_only,beta_raw_at_BT2,398,107.92660145468805,108.15444139189842,108.41767898117469,1.1011172818787145,1.7334743292142005,0.016027768318204738,103.82459760695777,106.58927445089807,109.77548298468585,110.93078330851058,0.4910775264866345,1.0
MBB_20m_primary,interior_only,beta_raw_at_pooled,398,20.271560299724396,20.321630998954475,20.37104788741531,0.2190295508916389,0.3417024135628469,0.016814714014855753,19.489718890449723,20.002677578756433,20.637888949677148,20.862670414348653,0.0994875876909127,1.0
MBB_20m_primary,interior_only,beta_raw_at_19A,398,8.332827109206809,8.358941212980888,8.383383287565625,0.09757338436825069,0.1545698996909977,0.018491564392265465,7.989722408297028,8.209818773221302,8.503006570326724,8.60135858107365,0.050556178358815984,1.0
MBB_20m_primary,interior_only,beta_adjusted_at_BT2,398,107.68964717904936,107.91221176054913,108.16518987824132,1.133551392721941,1.7917318144902346,0.01660360570188277,103.43317962931016,106.29773254152192,109.6297244731407,110.74886845950508,0.475542699191962,1.0
MBB_20m_primary,interior_only,beta_adjusted_at_pooled,398,19.961765533133907,20.009206727866573,20.065015304312084,0.21335922121132356,0.3375059704911833,0.01686753378489228,19.17103961757999,19.702389252089162,20.331835935404104,20.51661646313101,0.10324977117817724,1.0
MBB_20m_primary,interior_only,beta_adjusted_at_19A,398,8.003784490406185,8.027571847297125,8.048138390137684,0.09006361558398401,0.14153975162719762,0.017631701630282375,7.676571439055172,7.894782883054981,8.16701634621125,8.238021014138921,0.04435389973149917,1.0
MBB_20m_primary,interior_only,Vcem_fraction,398,0.012546045825196089,0.013219068245832608,0.010770848733511383,0.0045202644054310615,0.00955674899805261,0.7229517860357089,0.0028466466329160763,0.005674463155808057,0.01965613640633329,0.04396541634536992,-0.001775197091684706,1.0
MBB_20m_primary,interior_only,Cn,398,5.436001877454284,5.8036633404544125,5.691205254750946,0.6051489655624156,0.9301539989203529,0.16027015082641305,4.396795284215794,4.909884651346809,6.60168750778402,7.96074784174929,0.2552033772966613,1.0
MBB_20m_primary,interior_only,hierarchy_qstar_delta,398,,1.9784584555259324,0.8603501050101698,0.8078935336276487,2.7870208863075585,1.4086830474116205,0.0032560368436946882,0.06647973085687113,4.027074508193292,9.210600605016475,,1.0
MBB_20m_primary,interior_only,hierarchy_Cn_delta,398,,0.2810567175842614,0.2200406282536136,0.15321812902486442,0.2604680348136633,0.9267454521366296,0.0005763905308732831,0.03971983850707488,0.5249343522504055,0.9420415583520086,,1.0
MBB_20m_primary,interior_only,hierarchy_delta_Cn_minus_qstar,398,,-1.6974017379416708,-0.5083687009323938,0.7385429468642002,2.804561886648572,1.6522675946175727,-8.832322077925303,-3.6344897698803558,0.17084581400344856,0.6365574649925849,,0.2914572864321608
MBB_40m,all_success,A_raw,120,0.3026134543411656,0.30437957111329594,0.3055800538765724,0.0030858624380356303,0.004937769544346661,0.016222407851769816,0.2909754073621421,0.2996494841184838,0.3088873617487457,0.3114732357277074,0.0029665995354067887,1.0
MBB_40m,all_success,Gamma_raw,120,1.4911805471801822,1.489687780664092,1.4932111213171437,0.01612789020961991,0.024010553637282894,0.016117842912411594,1.4381530762117825,1.4662592705521693,1.5115287676835742,1.525490263175842,0.002030574136961505,1.0
MBB_40m,all_success,A_adjusted,120,0.3028371625535019,0.30459044530371776,0.30580976152573247,0.003187370267587003,0.00522289994202848,0.017147287521841154,0.29059289813919276,0.29948871729826587,0.30935690385394515,0.31200728639901393,0.002972598972230567,1.0
MBB_40m,all_success,Gamma_adjusted,120,1.61812043572011,1.6202592438438446,1.625597465316867,0.01771722104096851,0.02910280993261262,0.017961823111448613,1.553473465517416,1.5952224198488372,1.6468793255236238,1.663282082485972,0.007477029596757001,1.0
