scheme,block_length_samples,block_length_m,replicate,unique_fraction_19A,unique_fraction_BT2,bootstrap_success,hierarchy_evaluated,pooled_fit_nfev,pooled_fit_bound_hit,Vcem_fraction,Cn,A_raw,Gamma_raw,A_adjusted,Gamma_adjusted,beta_raw,beta_adjusted,beta_raw_at_BT2,beta_adjusted_at_BT2,beta_raw_at_pooled,beta_adjusted_at_pooled,beta_raw_at_19A,beta_adjusted_at_19A,hierarchy_separate_objective,hierarchy_qstar_objective,hierarchy_Cn_objective,hierarchy_qstar_delta,hierarchy_Cn_delta,hierarchy_delta_Cn_minus_qstar,hierarchy_qstar_success,hierarchy_Cn_success,hierarchy_qstar_bound_hit,hierarchy_Cn_bound_hit
MBB_20m_primary,5,20,198,0.5172413793103449,0.7,True,True,28,False,0.04597658182710402,4.5556447238552975,0.2906316483533702,1.4397355498432647,0.2901358929229637,1.5469704970424112,2.254516879887066,1.9408305568365334,103.63418648980263,103.18131134617293,19.44931088036504,19.13302777012519,7.98265574224887,7.676847496774854,141.77872995725107,148.3981489996926,141.99989228643906,6.619419042441535,0.22116232918799028,-6.398256713253545,True,True,True,False
MBB_20m_primary,5,20,199,0.7241379310344828,0.5666666666666667,True,True,24,False,0.005590955925405228,6.779115649281955,0.3079668499655841,1.4997762406465147,0.3085195246334357,1.6243867616303558,51.280449297761535,51.063358497437235,109.88064486304188,109.7709593197125,20.676075059056117,20.398513006006393,8.52761213499235,8.218150995562553,121.45837233510156,124.0987740118334,121.53709461575082,2.640401676731841,0.07872228064925935,-2.5616793960825817,True,True,True,False
MBB_20m_primary,5,20,200,0.6896551724137931,0.8666666666666667,True,True,28,False,0.004792309403489707,7.004240963901537,0.30873888479527706,1.504786764198062,0.3090686926132764,1.6400983466180235,60.61623661493904,60.342675896711526,110.15295380767557,109.93408378214238,20.72467924692993,20.40173435789418,8.54565803674053,8.198629386488452,113.81548963844631,114.69265801614529,114.06700025422958,0.8771683776989789,0.2515106157832747,-0.6256577619157042,True,True,False,False
MBB_20m_primary,5,20,201,0.7931034482758621,0.8333333333333334,True,True,19,False,0.00931866682267546,6.167515904421514,0.30507268569721263,1.487309397947957,0.3053389679750307,1.6211955050801812,28.930840709373946,28.616716844122838,108.84392859376072,108.6052023598833,20.477567998849533,20.153238801523692,8.443137266808373,8.097322658089492,142.11338731090464,142.30798873070853,142.2896265179293,0.19460141980388812,0.17623920702465057,-0.018362212779237552,True,True,True,False
MBB_20m_primary,5,20,202,0.5517241379310345,0.6,True,True,25,False,0.025019555443429306,4.329814921717915,0.29573975310939876,1.4939494810952099,0.29593039498797236,1.6132977161344477,7.8362709978464995,7.5256121550664785,105.38288148923887,105.15283260787143,19.71653591526978,19.423699242791944,8.045949986657963,7.735785257660923,169.08133707439313,170.22503110189513,169.62738616562496,1.1436940275019936,0.5460490912318221,-0.5976449362701715,True,True,True,False
MBB_20m_primary,5,20,203,0.7241379310344828,0.7,True,True,19,False,0.007959236935443096,6.066314337389244,0.3056329238553378,1.5021496585161327,0.3060600731921293,1.6419768752921025,34.56816106063601,34.2651631873347,109.01333169099948,108.819019627355,20.483920561038907,20.157079778049187,8.426386809011067,8.071287672236693,172.69598644626464,179.50909151829777,173.04647503709782,6.8131050720331245,0.35048859083318007,-6.4626164811999445,True,True,True,False
MBB_20m_primary,5,20,204,0.7241379310344828,0.7,True,True,18,False,0.009208035772019268,6.33319831170039,0.305489255836375,1.4665947597220856,0.30551260570418326,1.5985049343966686,29.423497376337103,29.088487420020623,109.04980426578793,108.72639696037427,20.56423478397097,20.225642108178533,8.515255124064005,8.16482573316326,135.3361348082687,135.33679179698183,135.4800431634799,0.0006569887131320229,0.14390835521120948,0.14325136649807746,True,True,False,False
MBB_20m_primary,5,20,205,0.7241379310344828,0.7333333333333333,True,True,23,False,0.005855514362607273,6.560958167348215,0.3074704310601898,1.5096994787579696,0.3080450673982653,1.6351663427045535,48.67923124143262,48.45904008793941,109.67246337865487,109.56872736605415,20.610895901263703,20.332874153673927,8.480993281589692,8.170144052908181,142.3230735431016,143.68488672473023,142.45171221882035,1.3618131816286336,0.1286386757187472,-1.2331745059098864,True,True,True,False
MBB_20m_primary,5,20,206,0.7931034482758621,0.5666666666666667,True,True,21,False,0.007439560276035821,6.518588077205071,0.3063704231340026,1.4942446400040805,0.30669511426885854,1.6289202087605668,37.374847658400014,37.07542187937956,109.30540431092183,109.0862468440063,20.56310643706168,20.241395236334235,8.477432492928749,8.131889982434865,134.8323046406201,134.98718270320327,135.14699683499342,0.1548780625831796,0.31469219437332185,0.15981413179014226,True,True,False,False
MBB_20m_primary,5,20,207,0.5172413793103449,0.5333333333333333,True,True,20,False,0.020615974408671425,5.280843786417132,0.2994440154223246,1.4340749813447757,0.2991998967384276,1.5586955933872595,10.744844989199473,10.404522307375299,106.90065257001791,106.49688376789763,20.166322486424868,19.82522486856029,8.356066364585104,8.014178800931601,126.30989673611266,138.5836116719488,126.51931789702468,12.27371493583614,0.20942116091201513,-12.064293774924124,True,True,True,False
MBB_20m_primary,5,20,208,0.6551724137931034,0.4666666666666667,True,True,19,False,0.023071495921294417,5.199899532002,0.2981347167532475,1.4526381703088338,0.29814027255204645,1.5645156503213424,9.068327550154702,8.771754827645815,106.37072931527679,106.09117839051106,20.01405232141731,19.72574476500924,8.253378981077892,7.955588605330091,109.75493405467515,109.95952810670097,109.83243447174564,0.2045940520258256,0.07750041707049604,-0.12709363495532955,True,True,False,False
MBB_20m_primary,5,20,209,0.6896551724137931,0.7,True,True,17,False,0.013130746257201495,5.176528018866579,0.3019583063450872,1.4953107093935358,0.302216311930426,1.6199601703129454,19.131121358551844,18.828569840136446,107.67442221222126,107.45589055955537,20.208681069356718,19.90753150590151,8.295185390421679,7.973638566559536,177.4716484605164,178.17072229079403,177.9182982978856,0.6990738302776265,0.4466498373691934,-0.2524239929084331,True,True,False,False
MBB_20m_primary,5,20,210,0.5862068965517241,0.7333333333333333,True,True,19,False,0.01622810343041196,5.41249874689646,0.30098588281640587,1.467818933133109,0.30098412988855383,1.601380224113352,14.722483082638973,14.374352470520648,107.38474595340969,107.0479184775368,20.20212765281307,19.857272672158224,8.328876169257462,7.973027837822192,162.95638147276958,167.39449452282568,162.99598886221295,4.438113050056103,0.039607389443375496,-4.398505660612727,True,True,True,False
MBB_20m_primary,5,20,211,0.7931034482758621,0.8333333333333334,True,True,17,False,0.009319529802990044,5.765206575589664,0.30472469709526967,1.495492130271629,0.3048276574589103,1.6305641844735255,28.869516270963672,28.534828714592166,108.6949064914272,108.39292095524138,20.428711846091186,20.08830397657423,8.407190261901633,8.051575494718136,168.7467139314705,168.78669189682213,168.9206952614101,0.03997796535162479,0.17398132993957915,0.13400336458795437,True,True,False,False
MBB_20m_primary,5,20,212,0.5172413793103449,0.6666666666666666,True,True,26,False,0.0038147522825812755,7.537243163686926,0.30969065878993723,1.5197830373746852,0.3102960867676548,1.6637563022307593,77.34633575269787,77.14164392190169,110.46646113907822,110.32750727895045,20.76183705550367,20.438505468626257,8.544412790311252,8.185518760264344,193.1405481687662,193.24747374936848,193.15257098540488,0.10692558060227952,0.012022816638676659,-0.09490276396360287,True,True,True,False
MBB_20m_primary,5,20,213,0.6896551724137931,0.6333333333333333,True,True,20,False,0.00952819524014429,5.767647611258173,0.304568831307789,1.4941461740182695,0.3050721268163895,1.6150373051087428,28.13849250714886,27.881711495618617,108.64077181388377,108.52222470629268,20.419762195396476,20.147863874134142,8.404437705035651,8.10287630256413,143.1594420305156,143.3461693931343,143.51330890849715,0.18672736261868295,0.35386687798154526,0.1671395153628623,True,True,False,False
MBB_20m_primary,5,20,214,0.7241379310344828,0.5,True,True,22,False,0.027735193446835234,4.822259178362578,0.2961660555981585,1.447371305418907,0.29607731209773636,1.5708858601227769,6.790332880444466,6.455341021158736,105.65744873820273,105.31380539822078,19.8707309756696,19.544872433243942,8.187358195412537,7.854734848778255,115.24126599452472,120.67435554069722,115.40436904928058,5.433089546172496,0.16310305475585096,-5.269986491416645,True,True,True,False
MBB_20m_primary,5,20,215,0.6206896551724138,0.7333333333333333,True,True,23,False,0.009993768590687464,5.737794915696864,0.3041867612046403,1.498537084601952,0.3044950730897897,1.6289038866022256,26.595301673501424,26.29188357582159,108.48871608706112,108.27435921671537,20.37797603860613,20.06608002657444,8.377205418892819,8.042474468038233,144.72399568111283,147.2194859388,144.76197712278616,2.4954902576871802,0.03798144167333817,-2.457508816013842,True,True,False,False
MBB_20m_primary,5,20,216,0.5862068965517241,0.6666666666666666,True,True,40,False,0.0026522330630368678,8.476909809680759,0.3113809672222782,1.5162248139956451,0.31202999449067575,1.6561177766900812,113.5874566455262,113.48009957260459,111.09922839477956,110.98663525035582,20.905749038949867,20.596423657478958,8.622623119311326,8.27637094337721,116.8753369435743,118.2948641835982,116.87850895751693,1.4195272400238963,0.0031720139426312244,-1.416355226081265,True,True,True,False
MBB_20m_primary,5,20,217,0.5517241379310345,0.6,True,True,21,False,0.007136966181415201,5.862908326372859,0.30617743503122913,1.5180998398209873,0.30644258414602404,1.6506972904101642,39.036026008620475,38.735661802621976,109.1741369934417,108.93823617793046,20.486154930296575,20.165061373128218,8.4060402764379,8.063612279968169,189.16548479103403,189.33109590501252,189.18746648172527,0.1656111139784855,0.021981690691234235,-0.14362942328725126,True,True,False,False
MBB_20m_primary,5,20,218,0.6551724137931034,0.6,True,True,17,False,0.014811515673219753,5.692129786141233,0.30159894246396673,1.4745367298057919,0.30170694775883755,1.595984221518177,16.534371760666893,16.226370069737396,107.59408755998106,107.32825757971263,20.23365411337073,19.928812696870455,8.335909966553483,8.016793089591257,107.28524071633534,107.28636563851344,107.70745411463844,0.0011249221781071128,0.4222133983031,0.4210884761249929,True,True,False,False
