train,test,adjustment,Vcem_fraction,Vcem_percent,lnCn_profile,Cn_profile,profile_objective,lnCn_train_qstar,error_train_qstar,lnCn_test_oracle_qstar,error_test_oracle_qstar,lnCn_pooled_qstar,error_pooled_qstar,lnCn_train_local_exponential,error_train_local_exponential,lnCn_constant_Cn,error_constant_Cn
19A,BT2,raw,0.054794117647058826,5.479411764705882,1.4210910869525548,4.141636861841178,0.08528320693661194,1.4256023732149197,0.004511286262364855,1.3945951986164036,-0.02649588833615124,1.4149970153584814,-0.00609407159407338,1.687414210821796,0.2663231238692412,2.1153340630480177,0.6942429760954629
19A,BT2,raw,0.056529411764705884,5.652941176470589,1.4196210333853934,4.13555290676412,0.09213211920774096,1.4236679625009279,0.004046929115534503,1.3925867592108636,-0.02703427417452975,1.4130768939461984,-0.0065441394391949625,1.6731572392056822,0.2535362058202888,2.1153340630480177,0.6957130296626244
19A,BT2,raw,0.05826470588235294,5.826470588235294,1.4184634174327795,4.130768294652337,0.0993338234152728,1.4220511681379329,0.003587750705153381,1.3909104659652125,-0.027552951467566977,1.4114801279127054,-0.0069832895200740985,1.6589002675895683,0.24043685015678884,2.1153340630480177,0.6968706456152383
19A,BT2,raw,0.06,6.0,1.4176016522071866,4.127210075575962,0.1068988968016551,1.4207359055284694,0.0031342533212828094,1.3895495027918627,-0.028052149415323857,1.4101903567432874,-0.007411295463899181,1.6446432959734545,0.2270416437662679,2.1153340630480177,0.6977324108408312
19A,BT2,adjusted,0.001,0.1,2.420465399572424,11.251094351095851,0.0003103211837272279,2.4046760573759776,-0.015789342196446565,2.418821536613053,-0.001643862959371134,2.4102595726000002,-0.010205826972423893,2.1288914166704695,-0.2915739829019546,2.1153340630480177,-0.3051313365244064
19A,BT2,adjusted,0.002709648210837285,0.2709648210837285,2.1153340630480177,8.292355473009664,0.0,2.1153340630480177,0.0,2.1153340630480177,0.0,2.1153340630480177,0.0,2.1153340630480177,0.0,2.1153340630480177,0.0
19A,BT2,adjusted,0.002735294117647059,0.2735294117647059,2.1125015347142293,8.268900375474798,3.6044002659421776e-08,2.112637029752546,0.00013549503831677967,2.1125042448230893,2.710108859993454e-06,2.1125857468331755,8.421211894615865e-05,2.115130693357467,0.002629158643237872,2.1153340630480177,0.002832528333788442
19A,BT2,adjusted,0.004470588235294118,0.4470588235294118,1.9669067276398766,7.148529903330299,0.00011742422291616626,1.9735544741019995,0.00664774646212285,1.966534328173879,-0.0003723994659976526,1.9708911972967118,0.003984469656835188,2.1013699700444644,0.13446324240458774,2.1153340630480177,0.14842733540814113
19A,BT2,adjusted,0.0062058823529411765,0.6205882352941177,1.872730155786622,6.506034662339254,0.0003770129255186769,1.8829979999019308,0.010267844115308788,1.8714347870409926,-0.0012953687456294105,1.8786821367112312,0.005951980924609135,2.087609246731462,0.21487909094483992,2.1153340630480177,0.2426039072613957
19A,BT2,adjusted,0.007941176470588236,0.7941176470588236,1.8040683236829083,6.074309521064574,0.0007450453628710155,1.816649153842473,0.012580830159564682,1.8017119714469294,-0.0023563522359788536,1.8111596176084657,0.007091293925557407,2.0738485234184596,0.26978019973555134,2.1153340630480177,0.3112657393651095
19A,BT2,adjusted,0.009676470588235293,0.9676470588235293,1.7507069777114264,5.758672490300265,0.0012245415189099911,1.7648609276800444,0.014153949968618074,1.7472526745548385,-0.003454303156587901,1.7584860253852932,0.007779047673866835,2.060087800105457,0.3093808223940304,2.1153340630480177,0.3646270853365914
19A,BT2,adjusted,0.011411764705882354,1.1411764705882355,1.7077725165541844,5.516659513757013,0.0018103883594236616,1.7228108594513747,0.015038342897190304,1.703001382109631,-0.004771134444553349,1.7157436182396606,0.007971101685476212,2.0463270767924544,0.33855456023827,2.1153340630480177,0.40756154649383336
19A,BT2,adjusted,0.013147058823529411,1.3147058823529412,1.6718224951754042,5.3218580248769145,0.0025166393700576037,1.6877392293088453,0.01591673413344119,1.6660650039768041,-0.005757491198600029,1.6801181535266745,0.00829565835127033,2.032566353479452,0.36074385830404787,2.1153340630480177,0.4435115678726136
19A,BT2,adjusted,0.014882352941176472,1.488235294117647,1.6418440471126183,5.164684658181118,0.0033602221146143926,1.6579182054719201,0.016074158359301816,1.634632204029803,-0.007211843082815417,1.649847665442421,0.008003618329802675,2.018805630166449,0.3769615830538309,2.1153340630480177,0.4734900159353994
19A,BT2,adjusted,0.01661764705882353,1.6617647058823528,1.6155407177189895,5.030607326706563,0.00431920589036812,1.6321939977478426,0.016653280028853024,1.6074934282199471,-0.008047289499042432,1.6237555721245136,0.008214854405524052,2.005044906853447,0.3895041891344573,2.1153340630480177,0.4997933453290282
19A,BT2,adjusted,0.01835294117647059,1.835294117647059,1.5927758100376124,4.917379713306449,0.005425499131664573,1.6097577733675519,0.01698196332993951,1.5838007499094298,-0.00897506012818261,1.601017065098992,0.008241255061379738,1.9912841835404445,0.3985083735028321,2.1153340630480177,0.5225582530104054
19A,BT2,adjusted,0.02008823529411765,2.008823529411765,1.5729807594603291,4.820997030442539,0.006679366675360506,1.5900205528068763,0.01703979334654715,1.562936720026434,-0.010044039433895202,1.5810315332151037,0.008050773754774587,1.9775234602274419,0.40454270076711274,2.1153340630480177,0.5423533035876886
