nuisance,scientific_group,meaning,prior_sd_multiplier,physical_prior_sd,unit,one_sigma_multiplicative_factor,one_sigma_percentage_points,lambda_min,lambda_max,spectral_ratio,condition_number,lambda_min_gain,worst_sd_reduction,determinant_gain,strong_direction_rotation_deg,weak_direction_rotation_deg,sd_Vcem_fraction,sd_Vcem_percentage_points,sd_lnCn,multiplicative_Cn_one_sigma,Vcem_lnCn_correlation,target_aligned_discrepancy_log_rms,raw_alignment_rms_per_scaled_parameter,aligned_1pct_lambda_min,aligned_1pct_lambda_max,aligned_1pct_lambda_min_gain,aligned_1pct_spectral_ratio,aligned_1pct_Vcem_lnCn_correlation,aligned_1pct_sd_Vcem_percentage_points,aligned_1pct_sd_lnCn,aligned_1pct_raw_alignment_rms_per_scaled_parameter
ln_soft_cn_offset,fabric_state,compliant-contact coordination-number offset,4.0,0.8,log ratio,2.225540928492468,,0.010711771767608624,11.950887891025609,0.0008963159779661656,33.40176612532897,3.0618226237769486,1.7498064532333135,4.448757705696751,0.08367339283857765,0.08367339283857765,0.08067939410099237,8.067939410099237,1.6063535469381065,4.98460193136305,-0.997904929321489,0.0,0.0,0.004216372196563345,11.914774015669511,1.2051959341347909,0.0003538776472821268,-0.999170399404453,12.827066199136961,2.562253584756573,0.0002851424639912598
ln_stiff_cn_offset,fabric_state,stiff-bound coordination-number offset,0.25,0.025,log ratio,1.0253151205244289,,0.01173277497781644,27.284803998176756,0.0004300113344629654,48.223646652465426,3.3536633010976047,1.8313009859380311,11.124970036422921,0.18884380533124562,0.18884380533510559,0.0765012332128246,7.650123321282459,1.5395731939267239,4.662599820329554,-0.9989861502682458,0.0,0.0,0.0042226753882710355,26.324550208193408,1.2069976206709967,0.00016040826357430964,-0.9996236528652316,12.80890099275926,2.560746679060669,0.0002851424639912598
ln_stiff_cn_offset,fabric_state,stiff-bound coordination-number offset,0.5,0.05,log ratio,1.0512710963760241,,0.011730561441195775,23.926570350919693,0.0004902734185948583,45.1627965470315,3.3530305900344164,1.831128228725235,9.753860044906242,0.19496055486784222,0.19496055486597277,0.07650138677304487,7.650138677304487,1.5398475660963702,4.663879283474963,-0.9988439668482301,0.0,0.0,0.0042225895654652845,23.14551239948475,1.20697308932231,0.0001824366422563747,-0.9995719695070687,12.808941996410425,2.560821374425955,0.0002851424639912598
ln_stiff_cn_offset,fabric_state,stiff-bound coordination-number offset,1.0,0.1,log ratio,1.1051709180756477,,0.011723938478420237,17.487983701237702,0.0006703996686359264,38.62185282106152,3.3511375010382625,1.8306112370020737,7.125093056831419,0.21326202913719514,0.21326202913719514,0.07650184646562136,7.650184646562136,1.540668623890125,4.667710170384358,-0.9984188232644072,0.0,0.0,0.004222332625515524,16.99983524285554,1.2068996463319068,0.0002483749145327763,-0.9994172629111003,12.809064753503844,2.5610449858866957,0.0002851424639912598
ln_stiff_cn_offset,fabric_state,stiff-bound coordination-number offset,2.0,0.2,log ratio,1.2214027581601699,,0.011712229291990006,11.852096467781987,0.0009881989506099458,31.81103546339598,3.3477905802210626,1.829696854733336,4.824052369969315,0.24561841633381826,0.24561841633381826,0.07650266004372559,7.650266004372559,1.5421207023174857,4.674492975018274,-0.9976681822373831,0.0,0.0,0.004221877791337203,11.564970702119695,1.2067696378134785,0.0003650573702329737,-0.9991434945429578,12.809282052630047,2.561440768134292,0.0002851424639912598
ln_stiff_cn_offset,fabric_state,stiff-bound coordination-number offset,4.0,0.4,log ratio,1.4918246976412703,,0.011702921332114036,9.436111715933764,0.0012402270855221594,28.395491748693082,3.34513001922819,1.8289696605543215,3.8376435134124582,0.2713393678164476,0.2713393678164476,0.07650330756596056,7.650330756596056,1.543275435313728,4.679893884001002,-0.9970723845350247,0.0,0.0,0.004221515709189827,9.219133495249622,1.2066661412739188,0.00045790807903639357,-0.9989256381034005,12.809455032895542,2.561755792091052,0.0002851424639912598
soft_phic_shift,fabric_state,compliant-branch critical-porosity shift,0.25,0.005,absolute fraction,,0.5,0.011723996146001614,17.58900383734644,0.0006665525947017107,38.73314737851239,3.351153984577041,1.830615739191882,7.1662867313869505,0.21351154130763977,0.21351154130934677,0.0765008202957656,7.65008202957656,1.540667972754525,4.667707131073084,-0.9984278758952696,0.0,0.0,0.0042223350857866215,17.0938449403954,1.2069003495688568,0.00024700909014382076,-0.9994204670655302,12.809058484871832,2.561041939188578,0.0002851424639912598
soft_phic_shift,fabric_state,compliant-branch critical-porosity shift,0.5,0.01,absolute fraction,,1.0,0.011723984555851885,17.56860686841626,0.0006673257955887515,38.71070168246704,3.3511506716813386,1.8306148343333555,7.157969319356054,0.21346139366807845,0.21346139366807845,0.07650102653899701,7.650102653899701,1.54066810361891,4.667707741909748,-0.9984260564406173,0.0,0.0,0.004222334591227117,17.074867331710458,1.2069002082053633,0.0002472835957785535,-0.9994198230889936,12.809059744889256,2.561042551546416,0.0002851424639912598
soft_phic_shift,fabric_state,compliant-branch critical-porosity shift,1.0,0.02,absolute fraction,,2.0,0.011723938478420237,17.487983701237702,0.0006703996686359264,38.62185282106152,3.3511375010382625,1.8306112370020737,7.125093056831419,0.21326202913719514,0.21326202913719514,0.07650184646562136,7.650184646562136,1.540668623890125,4.667710170384358,-0.9984188232644072,0.0,0.0,0.004222332625515524,16.99983524285554,1.2068996463319068,0.0002483749145327763,-0.9994172629111003,12.809064753503844,2.5610449858866957,0.0002851424639912598
soft_phic_shift,fabric_state,compliant-branch critical-porosity shift,2.0,0.04,absolute fraction,,4.0,0.011723758589089694,17.180187773876064,0.0006823999099076592,38.280757198139916,3.3510860819794943,1.830597192715944,6.999580996712883,0.21248369355918068,0.2124836935574654,0.0765050474536153,7.6505047453615305,1.5406706550283438,4.667719651158507,-0.9983905867898029,0.0,0.0,0.004222324949871847,16.713101840845177,1.2068974523475717,0.00025263562623383895,-0.9994072675228091,12.809084309786423,2.5610544903551906,0.0002851424639912598
soft_phic_shift,fabric_state,compliant-branch critical-porosity shift,4.0,0.08,absolute fraction,,8.0,0.011723103131076051,16.144871992297013,0.0007261192988503928,37.11043201874112,3.3508987277099442,1.8305460190090672,6.577403146325151,0.20964769360108695,0.20964769360456387,0.07651670985394236,7.651670985394237,1.540678055934242,4.667754196640238,-0.9982877352099591,0.0,0.0,0.004222296979713214,15.745334079421928,1.2068894574363325,0.0002681617905606377,-0.9993708443319885,12.80915557303732,2.561089124938362,0.0002851424639912598
