group,group_label,prior_sd_multiplier,best_pressure_1_mpa,best_pressure_2_mpa,canonical_5_7p5_is_best,second_best_lambda_min,best_minus_second_best_lambda_min,canonical_lambda_min_gain,lambda_min,lambda_max,spectral_ratio,condition_number,lambda_min_gain,worst_sd_reduction,determinant_gain,strong_direction_rotation_deg,weak_direction_rotation_deg,sd_Vcem_fraction,sd_Vcem_percentage_points,sd_lnCn,multiplicative_Cn_one_sigma,Vcem_lnCn_correlation,target_aligned_discrepancy_log_rms,raw_alignment_rms_per_scaled_parameter,aligned_1pct_lambda_min_gain,aligned_1pct_spectral_ratio,aligned_1pct_Vcem_lnCn_correlation
fluid_properties,Fluid properties,1.5,5.0,7.5,True,0.010892429290555672,0.0007931202128168557,3.3748585315520403,0.011685549503372528,17.48175376646801,0.0006684426322138651,38.678349165490296,3.3748585315520403,1.837078803849209,7.182086311178051,0.21608964544257853,0.21608964544257853,0.07662982007057649,7.662982007057649,1.54317372701841,4.679417924176733,-0.9984234941333332,0.0,0.0,1.2108859883006085,0.00024684352711221754,-0.9994209045651148
fluid_properties,Fluid properties,2.0,5.0,7.5,True,0.010855268055279144,0.0007923836737839807,3.3978638431821007,0.011647651729063124,17.47786674222378,0.0006664229623014705,38.736914375597564,3.3978638431821007,1.8433295536018786,7.236702459805779,0.21870567188637888,0.21870567188637888,0.0767562119305041,7.67562119305041,1.5456638019372588,4.691084544735944,-0.9984282987481582,0.0,0.0,1.2145800077421316,0.0002452841350693629,-0.999424602475726
fluid_properties,Fluid properties,3.0,5.0,7.5,True,0.010786572340117484,0.0007909860427086635,3.440728503200857,0.011577558382826147,17.473344133926005,0.0006625840076226346,38.84897147068155,3.440728503200857,1.8549200800036796,7.3375828415087865,0.22335038960929093,0.22335038960929093,0.07699094093122778,7.6990940931227785,1.5503072803200815,4.712918147110609,-0.9984374133121945,0.0,0.0,1.221272848414591,0.00024234148678715377,-0.9994315682240567
fluid_properties,Fluid properties,4.0,5.0,7.5,True,0.010730762127702409,0.000789846399193106,3.476559532647336,0.011520608526895515,17.4707325187552,0.0006594233249537705,38.94196369768245,3.476559532647336,1.8645534405447692,7.421484330502009,0.22706244674677392,0.22706244674677392,0.07718295907860465,7.7182959078604645,1.5541135582477117,4.730891006578974,-0.9984449102944176,0.0,0.0,1.2268191073422792,0.0002399251239216499,-0.9994372827429251
packing_reference,Packing reference,0.25,5.0,7.5,True,0.010991812133520629,0.0007854596987200146,3.303419500477595,0.011777271832240643,18.64735736195721,0.0006315785987063055,39.79113227102704,3.303419500477595,1.8175311552976456,6.366584307141796,0.2514846086969098,0.2514846086969098,0.07637520340825703,7.637520340825703,1.5367202379912006,4.6493165857483945,-0.9985113948873118,0.0,0.0,1.2312279494191225,0.0002448215408016705,-0.9994264629472024
packing_reference,Packing reference,0.5,5.0,7.5,True,0.010978164851931371,0.0007872986795893766,3.312722428795737,0.011765463531520748,18.37759826797109,0.0006402068083088895,39.52208572434898,3.312722428795737,1.8200885771840163,6.518076161201954,0.2441467563099921,0.24414675630700647,0.07640316288131371,7.6403162881313715,1.537592247313304,4.653372601337262,-0.9984908322460698,0.0,0.0,1.2261268902731912,0.0002458680138634598,-0.9994238356956601
packing_reference,Packing reference,0.75,5.0,7.5,True,0.010956957495215303,0.0007901698253696132,3.328512896326464,0.011747127320584916,17.973849607293396,0.0006535676873483012,39.11602489151589,3.328512896326464,1.824421249691656,6.770859724393368,0.231543407316683,0.23154340731825707,0.07644666904844472,7.644666904844471,1.538948783439388,4.659689352861258,-0.9984589773396583,0.0,0.0,1.2178861992756012,0.00024720560058356933,-0.9994204095541144
packing_reference,Packing reference,1.0,5.0,7.5,True,0.010930110570206875,0.0007938279082133626,3.3511375010382625,0.011723938478420237,17.487983701237702,0.0006703996686359264,38.62185282106152,3.3511375010382625,1.8306112370020737,7.125093056831419,0.21326202913719514,0.21326202913719514,0.07650184646562136,7.650184646562136,1.540668623890125,4.667710170384358,-0.9984188232644072,0.0,0.0,1.2068996463319068,0.0002483749145327763,-0.9994172629111003
packing_reference,Packing reference,1.5,5.0,7.5,True,0.010867658406877645,0.0008024384855254141,3.418260506266082,0.011670096892403059,16.45524516774995,0.0007092022497042382,37.55043286344627,3.418260506266082,1.8488538358307511,8.136731264436953,0.15844050756605263,0.15844050756605263,0.07663064446593817,7.663064446593817,1.5446805270390966,4.686474186054383,-0.9983261558524591,0.0,0.0,1.1790960738048806,0.0002487271654291267,-0.9994153037674928
packing_reference,Packing reference,2.0,5.0,7.5,True,0.010804441950972521,0.00081129788710399,3.516049196917811,0.011615739838076511,15.52946922556379,0.0007479804795231053,36.56409831417273,3.516049196917811,1.875113115766036,9.545813531310134,0.07926172639254574,0.0792617263879475,0.07676165344466496,7.6761653444664955,1.5487575342621853,4.705619977406478,-0.998233403767097,0.0,0.0,1.1493236232451791,0.00024586815216045047,-0.9994205081537811
