group,group_label,affected_nuisances,prior_sd_multiplier,pressure_1_mpa,pressure_2_mpa,lambda_min,lambda_max,spectral_ratio,condition_number,lambda_min_gain,worst_sd_reduction,determinant_gain,strong_direction_rotation_deg,weak_direction_rotation_deg,sd_Vcem_fraction,sd_Vcem_percentage_points,sd_lnCn,multiplicative_Cn_one_sigma,Vcem_lnCn_correlation,target_aligned_discrepancy_log_rms,raw_alignment_rms_per_scaled_parameter,aligned_1pct_lambda_min,aligned_1pct_lambda_max,aligned_1pct_lambda_min_gain,aligned_1pct_spectral_ratio,aligned_1pct_Vcem_lnCn_correlation,aligned_1pct_sd_Vcem_percentage_points,aligned_1pct_sd_lnCn,aligned_1pct_raw_alignment_rms_per_scaled_parameter
stress_calibration,Stress/calibration,logP_calibration;log_stress_bulk_scale;log_stress_shear_scale,0.75,5.0,7.5,0.011984474010096946,18.409154203454015,0.0006510062264483808,39.19290265490824,3.425608242433044,1.8508398748765502,7.667081568468037,0.2607716528734655,0.2607716528734655,0.07556940413783675,7.556940413783675,1.5246582495547307,4.59357344525638,-0.998462352760336,0.0,0.0,0.004223699356335153,17.640212496542382,1.2072903088137952,0.0002394358547077044,-0.99943817968366,12.805870148473684,2.5607138218225067,0.0002851424639912598
stress_calibration,Stress/calibration,logP_calibration;log_stress_bulk_scale;log_stress_shear_scale,1.0,5.0,7.5,0.011723938478420237,17.487983701237702,0.0006703996686359264,38.62185282106152,3.3511375010382625,1.8306112370020737,7.125093056831419,0.21326202913719514,0.21326202913719514,0.07650184646562136,7.650184646562136,1.540668623890125,4.667710170384358,-0.9984188232644072,0.0,0.0,0.004222332625515524,16.99983524285554,1.2068996463319068,0.0002483749145327763,-0.9994172629111003,12.809064753503844,2.5610449858866957,0.0002851424639912598
stress_calibration,Stress/calibration,logP_calibration;log_stress_bulk_scale;log_stress_shear_scale,1.5,5.0,7.5,0.011209277055838296,15.82562208896299,0.0007082993005156999,37.57436013101933,3.2040281318850017,1.7899799249949708,6.164752770309391,0.11761856464688819,0.11761856464688819,0.07843859635512102,7.843859635512102,1.5739130802599335,4.8254938421586715,-0.9983342306332859,0.0,0.0,0.004219361143754874,15.689723281572041,1.2060502863680949,0.0002689251472465812,-0.9993691883550638,12.816077532477063,2.5617620551618296,0.0002851424639912598
stress_calibration,Stress/calibration,logP_calibration;log_stress_bulk_scale;log_stress_shear_scale,2.0,5.0,7.5,0.010783893028262881,14.548783233974163,0.0007412230187800482,36.730390961230235,3.0824375614658064,1.7556872049046226,5.452297121848945,0.03562861201612479,0.03562861201612479,0.08014550675344946,8.014550675344946,1.6031420951022821,4.968619798999752,-0.9982610558009034,0.0,0.0,0.004216579467843928,14.53570271058917,1.2052551799729134,0.00029008432215472984,-0.9993197040917269,12.822755657658918,2.5624280199120735,0.0002851424639912598
stress_calibration,Stress/calibration,logP_calibration;log_stress_bulk_scale;log_stress_shear_scale,3.0,5.0,7.5,0.01021728853128634,12.858600307815557,0.0007945879245563137,35.475540385755444,2.920480930460791,1.7089414649018237,4.565692149828397,0.08189211920844416,0.08189211920844416,0.08259544244205534,8.259544244205534,1.6447621378230763,5.1797776872084205,-0.9981423308617617,0.0,0.0,0.004212275244436903,12.817260623964193,1.2040248728966114,0.00032864083582425486,-0.9992295652262418,12.833424120593914,2.56344177799496,0.0002851424639912598
stress_calibration,Stress/calibration,logP_calibration;log_stress_bulk_scale;log_stress_shear_scale,4.0,5.0,7.5,0.009890097541941145,11.815140260851578,0.0008370698378174238,34.563614557290606,2.8269575810833865,1.6813558757988705,4.060847932416123,0.15803217972078729,0.15803217972078729,0.08412076163996962,8.412076163996963,1.6702771148899322,5.3136400819621805,-0.9980473976269993,0.0,0.0,0.004209370857274575,11.673235471126581,1.2031946910635076,0.0003606001838724435,-0.9991548770450951,12.840959283770866,2.5641084999669195,0.0002851424639912598
scenario_endpoint,Scenario endpoint,stiff_cement_volume_shift,0.25,5.0,7.5,0.011869596364951107,17.78594593082219,0.0006673581720712232,38.709762657811105,3.3927719404183425,1.8419478658252906,7.336521397844214,0.19184533245069427,0.19184533245259405,0.07607359017131538,7.607359017131538,1.5308068187115424,4.621904357293509,-0.9984269855785323,0.0,0.0,0.004223515512018938,17.37845081963389,1.2072377592730794,0.0002430317613378564,-0.9994298313503707,12.80794147384167,2.5606168150627773,0.0002851424639912598
scenario_endpoint,Scenario endpoint,stiff_cement_volume_shift,0.5,5.0,7.5,0.011839453959022972,17.72345449508183,0.0006680105146718639,38.69085712066951,3.384156120140607,1.839607599500667,7.292178949740346,0.19627732722091312,0.19627732722091312,0.07616154570409986,7.616154570409986,1.532832893453597,4.631278173791826,-0.9984252434151418,0.0,0.0,0.004223273800830096,17.29971939086461,1.2071686692287364,0.0002441238326131615,-0.9994272626423022,12.808170962887832,2.5607042942364604,0.0002851424639912598
scenario_endpoint,Scenario endpoint,stiff_cement_volume_shift,0.75,5.0,7.5,0.011790362166380408,17.622612788920605,0.0006690473375090581,38.66086588101215,3.370123860621291,1.8357897103484624,7.220623734525317,0.20349551656809234,0.20349551656630133,0.07630553793837579,7.630553793837579,1.536149056835846,4.646661741999875,-0.9984224652743793,0.0,0.0,0.004222876724900626,17.171919114532265,1.2070551701652215,0.00024591757605746503,-0.9994230433691818,12.808548007455201,2.5608480172624706,0.0002851424639912598
scenario_endpoint,Scenario endpoint,stiff_cement_volume_shift,1.0,5.0,7.5,0.011723938478420237,17.487983701237702,0.0006703996686359264,38.62185282106152,3.3511375010382625,1.8306112370020737,7.125093056831419,0.21326202913719514,0.21326202913719514,0.07650184646562136,7.650184646562136,1.540668623890125,4.667710170384358,-0.9984188232644072,0.0,0.0,0.004222332625515524,16.99983524285554,1.2068996463319068,0.0002483749145327763,-0.9994172629111003,12.809064753503844,2.5610449858866957,0.0002851424639912598
