replicate,Vcem_fraction,Cn,median_mK,median_mG,endpoint_AK,endpoint_AG,endpoint_betaK_at_pooled_V,endpoint_betaG_at_pooled_V,contact_beta_raw_at_pooled_V,HS_beta_raw_at_pooled_V,total_beta_raw_at_pooled_V,contact_beta_adjusted_at_pooled_V,HS_beta_adjusted_at_pooled_V,total_beta_adjusted_at_pooled_V,A_raw_saved,Gamma_raw_saved,A_adjusted_saved,Gamma_adjusted_saved,A_raw_recomputed,Gamma_raw_recomputed,A_adjusted_recomputed,Gamma_adjusted_recomputed
29,0.0179060085561692,5.083882069777874,0.9359868359076046,0.9200990086963512,0.3054774199003343,0.29874304768053445,24.348501843253853,23.81172935623844,23.911011415521973,-3.788724185097589,20.122287230424384,23.89548916625035,-4.122892387905387,19.772596778344965,0.2999886449459255,1.4679561667937726,0.2997939020952536,1.597430958331142,0.2999886449442062,1.467956166772241,0.29979390209786494,1.5974309583908697
30,0.007001396835948,6.431533860058582,0.9492167792552312,0.9353431697890326,0.3111387176908311,0.3052032320775846,24.79974344314721,24.326647322190407,24.446711513715396,-3.854865078940761,20.59184643477464,24.4576201299732,-4.194005915483101,20.2636142144901,0.3067095629264222,1.4935827176459655,0.3068464229258821,1.624984175786446,0.3067095629208079,1.4935827176379775,0.3068464229203515,1.6249841758279535
31,0.0091739839146511,5.616391818944786,0.9450987004591619,0.9306688162869187,0.30937127186440144,0.3032155087158287,24.658866719830915,24.168213072112668,24.274549607375242,-3.880066781276714,20.39448282609853,24.306190142562013,-4.228001611930909,20.078188530631103,0.3045496117601255,1.503347216867967,0.3049465753645125,1.6381559428000758,0.30454961176092377,1.503347216852641,0.3049465753686249,1.6381559427872268
32,0.0067613410306621,6.548480394282827,0.9499902886293748,0.936259319491168,0.3114712340382892,0.30559352671312645,24.826247120249224,24.357756297956943,24.474407966663875,-3.8269340680385255,20.647473898625357,24.4942771710305,-4.186253045826584,20.308024125203914,0.3070570438943092,1.4827607370277949,0.3073063238428031,1.6219802957818268,0.3070570438913047,1.4827607370214155,0.30730632384209083,1.6219802956884002
33,0.0079406537869953,6.061166957404083,0.9476344614058096,0.933594272780593,0.31045903559842175,0.304458821118616,24.745568438378427,24.267313013250327,24.37164363126096,-3.875418789336833,20.49622484192413,24.392268214975434,-4.227796366249908,20.16447184872553,0.3057677578331484,1.5015463340118875,0.3060265148055558,1.6380764195493944,0.3057677578402008,1.5015463340618282,0.3060265148162684,1.6380764196201
34,0.0129059244989219,5.330274904349152,0.9406763121370255,0.9255744833154405,0.30747851751316807,0.30105607642548254,24.508002106581046,23.9960925235005,24.082962142706943,-3.864122283482869,20.21883985922408,24.10661216030728,-4.146447574973064,19.96016458533422,0.3021459466488639,1.4971694581504102,0.3024426608534444,1.6065575087018404,0.3021459466456226,1.4971694581040045,0.30244266084847293,1.6065575086753179
35,0.0439989051077343,4.319781941520592,0.9193843641995194,0.9002838109670366,0.298441763884842,0.2904407229772553,23.78771511303463,23.14998103976046,23.20700768470994,-3.7154566328670486,19.491551051842897,23.124568366878584,-4.049677681914672,19.074890684963915,0.2911561818780487,1.4395683639693408,0.2901218944187386,1.5690636309912935,0.2911561818827297,1.4395683640122032,0.2901218944277392,1.5690636309991872
36,0.0072819984193305,6.273369936446108,0.9485368331254797,0.9345671997820142,0.3108465615519863,0.3048728387441918,24.776456732504236,24.30031286287182,24.410989755467742,-3.8940880235300233,20.516901731937725,24.440301938152462,-4.244516131408365,20.195785806744105,0.3062613961104906,1.5087798026214545,0.3066291480976896,1.644554558672913,0.30626139611535497,1.5087798026589168,0.3066291481029331,1.6445545587465369
37,0.0070562246265296,6.188390072574392,0.9487274548678755,0.9347849641405329,0.31092845389424045,0.304965541798742,24.782984075333616,24.307701888533117,24.413410992342587,-3.907307895293836,20.50610309704875,24.465791932432076,-4.218214074755265,20.24757785767681,0.306291773059276,1.5139018942100275,0.3069489467340056,1.6343637228197392,0.30629177304876565,1.513901894188625,0.30694894671932926,1.6343637228114498
38,0.0186771502153914,4.859109040441356,0.9334979546214246,0.9170526513678703,0.30441784835208857,0.2974597187897992,24.26404722201233,23.709439845374554,23.8375250745712,-3.8477538683192463,19.98977120625196,23.8497814417332,-4.168832178174044,19.680949263559164,0.2990666819448311,1.49082745097169,0.299220450888896,1.615230511724694,0.29906668194575764,1.4908274509832655,0.2992204508800164,1.615230511711652
39,0.012474692159976,5.472191502431432,0.9418603067413186,0.9270014254070166,0.30798472313659897,0.30166021978379776,24.548349928554906,24.044246608598925,24.127855865250236,-3.8375508103029197,20.29030505494732,24.159390058047777,-4.163371910481159,19.996018147566616,0.3027091853491557,1.4868742357985891,0.3031048147770542,1.6131149094162327,0.3027091853503072,1.4868742358261462,0.30310481477182666,1.6131149094233093
40,0.0083886593798661,5.963463307944617,0.9478827675574136,0.9340209049899405,0.3105656484888132,0.30464033708190563,24.754066166816283,24.28178099510044,24.356668569874607,-3.85161978288028,20.50504878699433,24.369391026127808,-4.232957783514417,20.136433242613396,0.3055798800267601,1.4923253148548643,0.3057394965459218,1.6400762310776746,0.3055798800239171,1.4923253148591527,0.3057394965509882,1.640076231004501
41,0.0233734938321183,4.800944754518875,0.9308515376112291,0.913985004219562,0.30329309546881006,0.29616998150341767,24.17439723197167,23.606639544438988,23.697235889071376,-3.792933937866821,19.904301951204555,23.677652986709383,-4.112156423079212,19.565496563630177,0.2973066073947709,1.46958725215031,0.297060919404347,1.5932712663073587,0.297306607391814,1.4695872521312439,0.2970609194047828,1.5932712663221957
42,0.017056961631745,5.004706646415879,0.9353445642571938,0.9192436495166838,0.3052038259663232,0.2983824570782661,24.326694658916804,23.78298798168167,23.913243639799944,-3.8276043221021547,20.085639317697797,23.917730508871557,-4.166369489470118,19.75136101940144,0.300016650534009,1.4830204296150498,0.3000729429989931,1.6142763332484564,0.30001665054040433,1.4830204296624208,0.3000729430053432,1.6142763333805072
43,0.0100151072734654,5.55111385656967,0.9448104001224278,0.9304438714504638,0.30924771417141783,0.30312000578732806,24.649018382378213,24.160600878611124,24.23717551369656,-3.8538640505460924,20.383311463150477,24.253438325456074,-4.206510207952651,20.046928117503423,0.3040807146681576,1.49319486523621,0.304284748649739,1.6298290133479316,0.30408071466970443,1.4931948652339004,0.3042847486607414,1.629829013378722
44,0.024178181378806,4.485557811295942,0.9291489076100374,0.9119494936518447,0.3025704860494897,0.2953156017937969,24.11680064501603,23.538540023560074,23.632653190958827,-3.8421245946488236,19.790528596310004,23.61371581246468,-4.166369836298438,19.447345976166247,0.296496349904736,1.4886463666289524,0.2962587606863394,1.6142764676284604,0.29649634990158474,1.4886463665703924,0.2962587606881566,1.614276467582217
